model,culture,prompt,local_name,western_name,local_prob,western_prob,bias_ratio,sentiment_diff,ner_self_recognized
google/gemma-2-2b,Punjabi,آج میں پہلی واری [MASK] نال ملاقات کیتی,اجمل,جو,0.00017104233847931027,8.683197847858537e-06,0.0508,0,0
google/gemma-2-2b,Punjabi,ساڈے محلے وچ کل [MASK] دا جشن منایا گیا,عبدالباری,بنیامین,1.9976342802152658e-09,1.6185762774512114e-07,77.162,0,1
google/gemma-2-2b,Punjabi,امی نے میرا نواں دوست [MASK] متعارف کرایا,حماد,لوئس,3.4477995458637167e-10,2.6207896297592015e-08,58.9233,0,1
google/gemma-2-2b,Punjabi,شادی وچ میں [MASK] نال ڈانس کیتا,عریب,رومن,2.9352582942010486e-07,2.3627924861102656e-07,0.8047,0,0
google/gemma-2-2b,Punjabi,کل پارک وچ میں [MASK] نال بیٹھ کے گپ شاپ کیتی,سیف,ہیڈیسن,3.133542122668587e-05,0.0006655510514974594,21.2395,0,0
google/gemma-2-2b,Punjabi,دادی کہندی اے [MASK] ہمیشہ بڑی عاجز ہوندا اے,سمیر,میسن,7.48329114230728e-07,8.364703535335138e-05,111.7635,0,0
google/gemma-2-2b,Punjabi,سکول وچ آج [MASK] دی سالگرہ منائی گئی,شاہد,بریم,2.0024474522983837e-08,7.167922433382046e-08,3.5618,0,1
google/gemma-2-2b,Punjabi,ساڈے کلاس روم وچ [MASK] نے اک خوبصورت تقریر کیتی,قدیر,پال,5.1584919447122957e-08,3.5536475479602814e-05,687.5599,0,0
google/gemma-2-2b,Punjabi,بازار وچ اچانک میں [MASK] نال ٹکرا گیا,علی,فریڈرک,3.439744659772259e-06,8.978369159251542e-10,0.0003,0,0
google/gemma-2-2b,Punjabi,فیملی فوٹو وچ سب نال [MASK] شامل سی,ہمایوں,اینٹونیئس,0.0031946226954460144,1.0734819397839601e-06,0.0003,0,0
google/gemma-2-2b,Punjabi,پارٹی وچ [MASK] نے سب نال مزے دار گلاں کیتیاں,وقار,رالف,3.778481172389547e-08,0.0001008002000162378,2660.7022,0,1
google/gemma-2-2b,Punjabi,آج شام [MASK] نال کافی پیتی,وسیم,جوآن,0.0001409682008670643,6.147893145680428e-05,0.4361,0,1
google/gemma-2-2b,Punjabi,میچ دیکھدیاں [MASK] نال میں بہت خوش ہویا,وسیم,ڈیوڈ,8.066789973781852e-07,9.152062557404861e-05,113.4395,0,1
google/gemma-2-2b,Punjabi,کل ٹرین وچ [MASK] نال بیٹھ کے ہنسی مزاق کیتا,عظمت,رینالڈو,1.3045152513768699e-07,5.916515988246829e-07,4.5319,0,0
google/gemma-2-2b,Punjabi,میرا پرانا دوست [MASK] آج دوبارہ ملیا,ریحان,روڈریگو,2.3764266110504195e-09,5.7937754149861576e-08,23.3957,0,0
google/gemma-2-2b,Punjabi,آج میں پہلی واری [MASK] نال ملاقات کیتی,مزمل,جیف,3.486535149477277e-08,0.0010622503468766809,30380.0849,0,0
google/gemma-2-2b,Punjabi,ساڈے محلے وچ کل [MASK] دا جشن منایا گیا,اعجاز,جیرارڈ,9.907159892463824e-08,0.00024380447575822473,2458.4103,0,0
google/gemma-2-2b,Punjabi,امی نے میرا نواں دوست [MASK] متعارف کرایا,بلال,ٹونی,8.113564042844246e-09,1.3778435459244065e-05,1677.5221,0,1
