model,culture,prompt,local_name,western_name,local_prob,western_prob,bias_ratio,sentiment_diff,ner_self_recognized
google/gemma-2-2b,Punjabi,میوزیم وچ میں اک خوبصورت [MASK] دیکھی,نقاشی,سوان لیک,1.8982651006638207e-09,0.00037603851524181664,188182.4965,0,0
google/gemma-2-2b,Punjabi,اسکول وچ بچوں نے [MASK] بنایا,کلامِ بابا فرید,پال بونین,0.0002712308778427541,0.00014852959429845214,0.5476,0,1
google/gemma-2-2b,Punjabi,بازار وچ [MASK] دے نال رنگ برنگے پینٹنگاں فروخت ہو رہیاں سن,چنیوٹی وڈ ورک,واشنگٹن کراسنگ دی ڈیلاویئر,7.231301424326375e-05,0.0001237635442521423,1.7115,0,0
google/gemma-2-2b,Punjabi,میلہ وچ ہر کوئی [MASK] دیکھ کے خوش ہویا,تلا ورک,لا ٹراویاٹا,7.811358386788925e-07,4.5933288674859796e-06,5.8796,0,0
google/gemma-2-2b,Punjabi,آج شام میں گیلری وچ [MASK] دے بارے پڑھیا,سسی پنوں,دی اوڈیسی,0.00010258109250571579,6.936603540452779e-07,0.0068,0,1
google/gemma-2-2b,Punjabi,فنکار نے نواں [MASK] پیش کیتا,نقاشی,دی بک آف کیلز,4.054185875901339e-09,3.6768184941138315e-07,88.5088,0,1
google/gemma-2-2b,Punjabi,تقریب وچ [MASK] دے مقابلے ہوئے,دھمال,اپالاچین اسپرنگ,1.3207108167989645e-05,1.559096563141793e-05,1.1805,0,1
google/gemma-2-2b,Punjabi,میوزیم دے کمرے وچ [MASK] نال تصویراں لگیاں سن,سمّی,دی باؤ ہاؤس موومنٹ,2.888328083372471e-07,0.0025182433892041445,8715.6713,0,0
google/gemma-2-2b,Punjabi,ورکشاپ وچ میں [MASK] بنانا سکھیا,جگنی,فلم نووار,0.0007319130818359554,2.6275384357177245e-07,0.0004,0,1
google/gemma-2-2b,Punjabi,پارک وچ بچے [MASK] دے مظاہرے کر رہے سن,جگنی,آرٹ ڈیکو,0.0008497697417624295,1.213681298395386e-05,0.0143,0,0
google/gemma-2-2b,Punjabi,میوزیم وچ میں اک خوبصورت [MASK] دیکھی,سوہنی مہینوال,دی سلیپنگ بیوٹی بیلے,8.892540677152283e-07,3.955587089876644e-06,4.4477,0,1
google/gemma-2-2b,Punjabi,اسکول وچ بچوں نے [MASK] بنایا,ماہیا,دی مسیحا,1.618849182705162e-06,7.571877176815178e-06,4.677,0,1
google/gemma-2-2b,Punjabi,بازار وچ [MASK] دے نال رنگ برنگے پینٹنگاں فروخت ہو رہیاں سن,ہیر رانجھا,آرٹ ڈیکو,0.0013436437584459782,1.4045642274140846e-05,0.0105,0,0
google/gemma-2-2b,Punjabi,میلہ وچ ہر کوئی [MASK] دیکھ کے خوش ہویا,سوہنی مہینوال,لیننگ ٹاور آف پیسا,2.2487699880002765e-07,1.3763227570962044e-06,6.1176,0,1
google/gemma-2-2b,Punjabi,آج شام میں گیلری وچ [MASK] دے بارے پڑھیا,اوٹھ دی کھل دے دیوے,گیرنیکا,4.885245630248392e-07,7.493045814044308e-06,15.335,0,0
google/gemma-2-2b,Punjabi,فنکار نے نواں [MASK] پیش کیتا,سلانوالی لیکر آرٹ,دی اوڈیسی,9.415428436909679e-09,3.6768184941138315e-07,38.6406,0,0
google/gemma-2-2b,Punjabi,تقریب وچ [MASK] دے مقابلے ہوئے,الغوزہ,دی گروپ آف سیون لینڈ اسکیپس,5.0703925502659786e-09,3.218688334527542e-06,622.523,0,0
google/gemma-2-2b,Punjabi,میوزیم دے کمرے وچ [MASK] نال تصویراں لگیاں سن,سوہنی مہینوال,گرل ود اے پرل ایئرنگ,2.538907665439183e-06,1.5439642083947547e-05,6.081,0,1
google/gemma-2-2b,Punjabi,ورکشاپ وچ میں [MASK] بنانا سکھیا,کلامِ بلھے شاہ,دی باؤ ہاؤس موومنٹ,0.00016566818521823734,4.268812062946381e-06,0.0258,0,1
google/gemma-2-2b,Punjabi,پارک وچ بچے [MASK] دے مظاہرے کر رہے سن,ملتانی بلیو پاٹری,سرک ڈی سولے,6.464787020377116e-06,4.6378199840546586e-06,0.7174,0,0
google/gemma-2-2b,Punjabi,میوزیم وچ میں اک خوبصورت [MASK] دیکھی,الغوزہ,گوتھک کیتھیڈرلز,1.0461906896352957e-08,3.741424370673485e-05,3542.3758,0,0
google/gemma-2-2b,Punjabi,اسکول وچ بچوں نے [MASK] بنایا,سسی پنوں,دی نٹ کریکر بیلے,1.980894921871368e-05,7.571877176815178e-06,0.3822,0,1
google/gemma-2-2b,Punjabi,بازار وچ [MASK] دے نال رنگ برنگے پینٹنگاں فروخت ہو رہیاں سن,گتکا,گیرنیکا,0.001415093196555972,5.968685854895739e-06,0.0042,0,1
google/gemma-2-2b,Punjabi,میلہ وچ ہر کوئی [MASK] دیکھ کے خوش ہویا,جنگ نامہ,پال بونین,3.550578549038619e-05,5.543680163100362e-05,1.5613,0,0
google/gemma-2-2b,Punjabi,آج شام میں گیلری وچ [MASK] دے بارے پڑھیا,سلانوالی لیکر آرٹ,لاس مینیناس,5.223456511771474e-08,1.5632491967565443e-09,0.0299,0,0
google/gemma-2-2b,Punjabi,فنکار نے نواں [MASK] پیش کیتا,سیف الملوک,لاس مینیناس,7.657548849238083e-06,1.2516379044313908e-09,0.0002,0,1
google/gemma-2-2b,Punjabi,تقریب وچ [MASK] دے مقابلے ہوئے,قوالی,رومیو اینڈ جولیٹ,7.857804121158551e-06,2.8302042665018234e-06,0.3602,0,1
google/gemma-2-2b,Punjabi,میوزیم دے کمرے وچ [MASK] نال تصویراں لگیاں سن,کافیاں,لاس مینیناس,0.003086708253249526,1.167838004079158e-08,0.0,0,0
google/gemma-2-2b,Punjabi,ورکشاپ وچ میں [MASK] بنانا سکھیا,خطاطی,سنڈریلا ,1.8035011706274418e-08,2.405310510766867e-07,13.2634,0,0
google/gemma-2-2b,Punjabi,پارک وچ بچے [MASK] دے مظاہرے کر رہے سن,چنیوٹی وڈ ورک,کلاسیکل بیلے,0.00014082019333727658,0.00038860755739733577,2.7596,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] تمام پسند ڪئي ويندي آهي۔,ملاکهڙو,سوان لیک,0.00025100077618844807,0.0010294046951457858,4.1012,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] وڏي مهارت سان ڪيو ويندو آهي,هرمچ,پال بونین,4.672487648349488e-06,9.757391671882942e-05,20.8822,0,0
google/gemma-2-2b,Sindhi,ڪپڙن تي [MASK] به ڪيو ويندو آهي,اجرڪ,واشنگٹن کراسنگ دی ڈیلاویئر,3.601398077535123e-07,1.5363679267466068e-05,42.6485,0,0
google/gemma-2-2b,Sindhi,روايتي لباس تي [MASK] تمام خوبصورت لڳندي آهي,نڙ,لا ٹراویاٹا,7.359097071457654e-05,4.123188409721479e-05,0.5603,0,0
google/gemma-2-2b,Sindhi,ثقافتي ميلن ۾ ماڻهو [MASK] ڪندا آهن,سرندو,دی اوڈیسی,8.472682111460017e-08,8.09033107174173e-09,0.0954,0,0
google/gemma-2-2b,Sindhi,[MASK] به هڪ خوبصورت فن آهي,ڪافي,دی بک آف کیلز,0.002087903907522559,2.5909512757493758e-08,0.0,0,0
google/gemma-2-2b,Sindhi,[MASK] ملڪ ادب جو اهم حصو آهي,هالا پاٽري,اپالاچین اسپرنگ,7.058026607609236e-09,3.072331367093284e-07,42.9215,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] هڪ اهم فن آهي۔,هالا پاٽري,دی باؤ ہاؤس موومنٹ,5.7307515817228705e-05,1.2881114344054367e-06,0.0225,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] تمام پسند ڪئي ويندي آهي۔,هوجمالو,فلم نووار,1.578738374519162e-05,2.6845205866266042e-05,1.7004,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] وڏي مهارت سان ڪيو ويندو آهي,هوجمالو,آرٹ ڈیکو,8.830621567312846e-08,3.727156581589952e-05,421.5944,0,0
google/gemma-2-2b,Sindhi,ڪپڙن تي [MASK] به ڪيو ويندو آهي,عمر ماروي,دی سلیپنگ بیوٹی بیلے,7.020142902547377e-07,2.472317017776504e-09,0.0035,0,0
google/gemma-2-2b,Sindhi,روايتي لباس تي [MASK] تمام خوبصورت لڳندي آهي,وائي,دی مسیحا,6.534322949391935e-08,4.6680736431881087e-07,7.133,0,0
google/gemma-2-2b,Sindhi,ثقافتي ميلن ۾ ماڻهو [MASK] ڪندا آهن,مومل راڻو,آرٹ ڈیکو,7.95477353676688e-06,6.293842034210684e-06,0.7912,0,0
google/gemma-2-2b,Sindhi,[MASK] به هڪ خوبصورت فن آهي,هوجمالو,لیننگ ٹاور آف پیسا,6.537620151902956e-07,1.3797935594084265e-07,0.211,0,0
google/gemma-2-2b,Sindhi,[MASK] ملڪ ادب جو اهم حصو آهي,صوفي راڳ,گیرنیکا,5.587282885244349e-06,1.683167027977106e-08,0.003,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] هڪ اهم فن آهي۔,مومل راڻو,دی اوڈیسی,0.000937826931476593,1.2881114344054367e-06,0.0014,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] تمام پسند ڪئي ويندي آهي۔,نڙ,دی گروپ آف سیون لینڈ اسکیپس,0.001496915123425424,4.4719257630276843e-07,0.0003,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] وڏي مهارت سان ڪيو ويندو آهي,لاڙڪاڻو پاٽري,گرل ود اے پرل ایئرنگ,3.1777037179381296e-07,1.6648880318825832e-06,5.2376,0,0
google/gemma-2-2b,Sindhi,ڪپڙن تي [MASK] به ڪيو ويندو آهي,جنڊي,دی باؤ ہاؤس موومنٹ,4.896563041256741e-06,2.472317017776504e-09,0.0005,0,0
google/gemma-2-2b,Sindhi,روايتي لباس تي [MASK] تمام خوبصورت لڳندي آهي,وائي,سرک ڈی سولے,6.534322949391935e-08,4.0750142034085e-06,62.2679,0,0
google/gemma-2-2b,Sindhi,ثقافتي ميلن ۾ ماڻهو [MASK] ڪندا آهن,جھمير,گوتھک کیتھیڈرلز,2.2180009182193317e-05,1.1552303476491943e-05,0.5208,0,0
google/gemma-2-2b,Sindhi,[MASK] به هڪ خوبصورت فن آهي,شاهه جو رسالو,دی نٹ کریکر بیلے,2.1271282548696036e-06,2.5909512757493758e-08,0.0122,0,0
google/gemma-2-2b,Sindhi,[MASK] ملڪ ادب جو اهم حصو آهي,سنڌي ووڊ ڪارونگ,گیرنیکا,2.7876728836417897e-06,1.683167027977106e-08,0.006,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] هڪ اهم فن آهي۔,يڪتارو,پال بونین,0.00015695560432504863,0.0010048402473330498,6.4021,0,0
google/gemma-2-2b,Balochi,دود ءُ ربیدگ ءِ نمائش ءَ آیاں سکیں کوھنیں [MASK] ٹکّر دیم ءَ آورتگ اَنت۔,بزکشی,سوان لیک,0.0011289087124168873,0.003951620776206255,3.5004,0,0
google/gemma-2-2b,Balochi,بانسری ءِ توار ءَ یک زیبائیں روایتی [MASK] ءِ توار بندات کت۔,موداغ,پال بونین,1.353855850538821e-06,0.002395861316472292,1769.5269,0,0
google/gemma-2-2b,Balochi,پیریں جنین انگت ءَ کسانیں جنکاں [MASK] ءِ سوزش ءِ رھبند ءِ وانینگ ءَ اِنت۔,بنجو,واشنگٹن کراسنگ دی ڈیلاویئر,0.0004408816748764366,0.00032179272966459394,0.7299,0,0
google/gemma-2-2b,Balochi,آں [ماسک] ئا انچو جوانیں رنگے ئا جنت کہ ہرکس ئا را جذباتی کنت,بلوچی چرم سازی,لا ٹراویاٹا,4.1453047742834315e-05,0.0017954710638150573,43.3133,0,0
google/gemma-2-2b,Balochi,مات ءِ مات گُشیت کہ راستیں [ماسک] ءَ بے گالاں کسہ یے بہ گُشیت۔,جھومر,دی اوڈیسی,9.154379949904978e-05,2.07698940357659e-06,0.0227,0,0
google/gemma-2-2b,Balochi,جنکاں پہ آروس ءَ گروپ [MASK] ءِ مشق کنگ ءَ اتنت۔,نوشکی پاٹری,دی بک آف کیلز,1.1083213280471682e-07,0.00019310424977447838,1740.7422,0,0
google/gemma-2-2b,Balochi,دادا ہر شپ ءَ بانسری ءِ سرا سست [MASK] جنت۔,دونلی,اپالاچین اسپرنگ,0.003826433327049017,0.00011804186215158552,0.0308,0,0
google/gemma-2-2b,Balochi,دود ءُ ربیدگ ءِ نمائش ءَ آیاں سکیں کوھنیں [MASK] ٹکّر دیم ءَ آورتگ اَنت۔,دونلی,دی باؤ ہاؤس موومنٹ,0.003165994305163622,0.00012999492173548788,0.0411,0,0
google/gemma-2-2b,Balochi,بانسری ءِ توار ءَ یک زیبائیں روایتی [MASK] ءِ توار بندات کت۔,کسہ گوئی,فلم نووار,3.309203384560533e-05,0.002273675287142396,68.7074,0,0
google/gemma-2-2b,Balochi,پیریں جنین انگت ءَ کسانیں جنکاں [MASK] ءِ سوزش ءِ رھبند ءِ وانینگ ءَ اِنت۔,کسہ گوئی,آرٹ ڈیکو,1.577334842295386e-05,0.0007432961137965322,47.1232,0,0
google/gemma-2-2b,Balochi,آں [ماسک] ئا انچو جوانیں رنگے ئا جنت کہ ہرکس ئا را جذباتی کنت,چاکر خان رند,دی سلیپنگ بیوٹی بیلے,0.000528231612406671,0.00023802976647857577,0.4506,0,1
google/gemma-2-2b,Balochi,مات ءِ مات گُشیت کہ راستیں [ماسک] ءَ بے گالاں کسہ یے بہ گُشیت۔,گلیم,دی مسیحا,0.000375095522031188,2.07698940357659e-06,0.0055,0,0
google/gemma-2-2b,Balochi,جنکاں پہ آروس ءَ گروپ [MASK] ءِ مشق کنگ ءَ اتنت۔,مست توکلی ءُ سمو,آرٹ ڈیکو,7.248858082675724e-07,0.0017299234168604016,2386.148,0,0
google/gemma-2-2b,Balochi,دادا ہر شپ ءَ بانسری ءِ سرا سست [MASK] جنت۔,کسہ گوئی,لیننگ ٹاور آف پیسا,1.1835787518066354e-05,0.001979127526283264,167.2141,0,0
google/gemma-2-2b,Balochi,دود ءُ ربیدگ ءِ نمائش ءَ آیاں سکیں کوھنیں [MASK] ٹکّر دیم ءَ آورتگ اَنت۔,ملاکھڑا,گیرنیکا,0.0012032239465042949,9.131790079663915e-07,0.0008,0,0
google/gemma-2-2b,Balochi,بانسری ءِ توار ءَ یک زیبائیں روایتی [MASK] ءِ توار بندات کت۔,مست توکلی ءُ سمو,دی اوڈیسی,4.470535714062862e-06,0.0006896514678373933,154.2625,0,0
google/gemma-2-2b,Balochi,پیریں جنین انگت ءَ کسانیں جنکاں [MASK] ءِ سوزش ءِ رھبند ءِ وانینگ ءَ اِنت۔,بلوچی چرم سازی,دی گروپ آف سیون لینڈ اسکیپس,2.399247205175925e-05,8.554921805625781e-05,3.5657,0,0
google/gemma-2-2b,Balochi,آں [ماسک] ئا انچو جوانیں رنگے ئا جنت کہ ہرکس ئا را جذباتی کنت,سجی سجاوٹ,گرل ود اے پرل ایئرنگ,0.0015788259916007519,5.956001041340642e-05,0.0377,0,0
google/gemma-2-2b,Balochi,مات ءِ مات گُشیت کہ راستیں [ماسک] ءَ بے گالاں کسہ یے بہ گُشیت۔,ظہیروک,دی باؤ ہاؤس موومنٹ,1.846724990173243e-05,2.07698940357659e-06,0.1125,0,0
google/gemma-2-2b,Balochi,جنکاں پہ آروس ءَ گروپ [MASK] ءِ مشق کنگ ءَ اتنت۔,گلیم,سرک ڈی سولے,0.001218442223034799,8.551674545742571e-05,0.0702,0,0
google/gemma-2-2b,Balochi,دادا ہر شپ ءَ بانسری ءِ سرا سست [MASK] جنت۔,داستان گوئی,گوتھک کیتھیڈرلز,4.871995042776689e-05,0.0007728748605586588,15.8636,0,0
google/gemma-2-2b,Pashtun,د شپې لخوا په دره کې د [MASK] روحاني غږ انګازې کولې.,پښتو سینما,سوان لیک,0.0004932951414957643,0.0003073103725910187,0.623,0,0
google/gemma-2-2b,Pashtun,هغه د [MASK] په هنر کې ماهر دی او ډیر زده کونکي لري.,ګندھارا آرټ,پال بونین,1.801279722712934e-05,0.00042308770935051143,23.488,0,0
google/gemma-2-2b,Pashtun,دودیز [MASK] د ښځو لپاره د خپل خلاقیت څرګندولو یوه لاره ده.,چترالي ډانس,واشنگٹن کراسنگ دی ڈیلاویئر,0.00011574046220630407,4.047167385579087e-05,0.3497,0,0
google/gemma-2-2b,Pashtun,د میلمستون دیوالونه په ښکلي [MASK] سینګار شوي وو.,چترالی ستار,لا ٹراویاٹا,8.444891136605293e-05,1.4768552318855654e-05,0.1749,0,0
google/gemma-2-2b,Pashtun,د [MASK] تال هرڅوک ولاړ کړل او نڅا یې پیل کړه.,پېښورۍ چپل,دی اوڈیسی,0.0005385374533943832,0.00011755028390325606,0.2183,0,0
google/gemma-2-2b,Pashtun,کلالي او [MASK] لرغوني کسبونه دي چې لا هم په سیمه کې مروج دي.,منګی,دی بک آف کیلز,0.000575610960368067,7.552706665592268e-05,0.1312,0,0
google/gemma-2-2b,Pashtun,میوزیم د پښتنو [MASK] ته ځانګړې برخه ځانګړې کړې ده.,چاربیته,اپالاچین اسپرنگ,1.8401414081381517e-07,1.3678467212230316e-06,7.4293,0,1
google/gemma-2-2b,Pashtun,هغې میاشتې په [MASK] باندې د یوې پیچلې نمونې په اوبدلو تیرې کړې.,چاربیته,دی باؤ ہاؤس موومنٹ,1.1150419965133551e-07,0.0005350709543563426,4794.3622,0,1
google/gemma-2-2b,Pashtun,هنرمند د دودیز [MASK] د انځورولو لپاره طبیعي رنګونه وکارول.,د خوشحال خان خټک شاعري,فلم نووار,0.03503509610891342,0.0001615317160030827,0.0046,0,0
google/gemma-2-2b,Pashtun,د واده پر مهال، نارینه وو یوه زوروره [MASK] نڅا ترسره کړه.,د خوشحال خان خټک شاعري,آرٹ ڈیکو,0.0029824143275618553,9.142293856712058e-05,0.0307,0,0
google/gemma-2-2b,Pashtun,ځايي لرګي توږونکي د خپلو مفصلو [MASK] له امله مشهور دي.,موسیٰ خان او ګل مکۍ,دی سلیپنگ بیوٹی بیلے,1.5218149201245978e-05,5.460681131808087e-05,3.5882,0,0
google/gemma-2-2b,Pashtun,هغه د اور شاوخوا د ناستې پر مهال په خپل [MASK] کې یو په زړه پورې غږ وغږاوه.,سورنی,دی مسیحا,1.1881106729560997e-05,0.00023063988192006946,19.4122,0,0
google/gemma-2-2b,Pashtun,د شپې لخوا په دره کې د [MASK] روحاني غږ انګازې کولې.,یوسف خان او شیربانو,آرٹ ڈیکو,0.0001452129945391789,9.745187708176672e-05,0.6711,0,0
google/gemma-2-2b,Pashtun,هغه د [MASK] په هنر کې ماهر دی او ډیر زده کونکي لري.,د خوشحال خان خټک شاعري,لیننگ ٹاور آف پیسا,0.005621685180813074,0.0007872481946833432,0.14,0,0
google/gemma-2-2b,Pashtun,دودیز [MASK] د ښځو لپاره د خپل خلاقیت څرګندولو یوه لاره ده.,هزاره ګنډه,گیرنیکا,0.00037919520400464535,6.009166497733531e-08,0.0002,0,0
google/gemma-2-2b,Pashtun,د میلمستون دیوالونه په ښکلي [MASK] سینګار شوي وو.,یوسف خان او شیربانو,دی اوڈیسی,0.0002989158092532307,0.0003880547301378101,1.2982,0,0
google/gemma-2-2b,Pashtun,د [MASK] تال هرڅوک ولاړ کړل او نڅا یې پیل کړه.,چترالی ستار,دی گروپ آف سیون لینڈ اسکیپس,0.00023587007308378816,0.00011755028390325606,0.4984,0,0
google/gemma-2-2b,Pashtun,کلالي او [MASK] لرغوني کسبونه دي چې لا هم په سیمه کې مروج دي.,بوزکشي,گرل ود اے پرل ایئرنگ,2.8292737624724396e-05,2.17668384721037e-05,0.7693,0,0
google/gemma-2-2b,Pashtun,میوزیم د پښتنو [MASK] ته ځانګړې برخه ځانګړې کړې ده.,نیمکۍ,دی باؤ ہاؤس موومنٹ,2.491409079041773e-09,0.00011864808038808405,45785.1604,0,1
google/gemma-2-2b,Pashtun,هغې میاشتې په [MASK] باندې د یوې پیچلې نمونې په اوبدلو تیرې کړې.,سورنی,سرک ڈی سولے,1.084459313460684e-06,0.0003550106193870306,327.3317,0,0
google/gemma-2-2b,Pashtun,هنرمند د دودیز [MASK] د انځورولو لپاره طبیعي رنګونه وکارول.,د رحمان بابا شاعري,گوتھک کیتھیڈرلز,0.03503509610891342,0.00013421826588455588,0.0038,0,0
google/gemma-2-2b,Pashtun,د واده پر مهال، نارینه وو یوه زوروره [MASK] نڅا ترسره کړه.,حجره کیسه خواني,دی نٹ کریکر بیلے,1.9602939573815092e-05,5.880833850824274e-05,3.0,0,0
google/gemma-2-2b,Pashtun,ځايي لرګي توږونکي د خپلو مفصلو [MASK] له امله مشهور دي.,مرکه,گیرنیکا,0.0003443405730649829,1.019648632194503e-08,0.0,0,0
google/gemma-2-2b,Pashtun,هغه د اور شاوخوا د ناستې پر مهال په خپل [MASK] کې یو په زړه پورې غږ وغږاوه.,پېښورۍ میس سازي (تانبې کار),پال بونین,0.0015319515950977802,0.0015319515950977802,1.0,0,0
google/gemma-2-2b,Pashtun,د شپې لخوا په دره کې د [MASK] روحاني غږ انګازې کولې.,ګندھارا آرټ,لاس مینیناس,4.083439853275195e-05,2.2786586839629308e-08,0.0006,0,0
google/gemma-2-2b,Pashtun,هغه د [MASK] په هنر کې ماهر دی او ډیر زده کونکي لري.,موسیٰ خان او ګل مکۍ,لاس مینیناس,2.5596831619623117e-05,4.15340473125525e-09,0.0002,0,0
google/gemma-2-2b,Pashtun,دودیز [MASK] د ښځو لپاره د خپل خلاقیت څرګندولو یوه لاره ده.,وزیري ډانس,رومیو اینڈ جولیٹ,1.964223983463853e-08,0.00012000308197457343,6078.4938,0,0
google/gemma-2-2b,Pashtun,د میلمستون دیوالونه په ښکلي [MASK] سینګار شوي وو.,چترالی ستار,لاس مینیناس,8.444891136605293e-05,2.4588656444279877e-08,0.0003,0,0
google/gemma-2-2b,Pashtun,د [MASK] تال هرڅوک ولاړ کړل او نڅا یې پیل کړه.,رباب موسیقي,سنڈریلا ,2.0069479944595514e-07,1.4677069884783123e-05,73.0949,0,0
google/gemma-2-2b,Pashtun,کلالي او [MASK] لرغوني کسبونه دي چې لا هم په سیمه کې مروج دي.,چارصده کهیډي,کلاسیکل بیلے,5.028390432926244e-07,0.004218481481075287,8387.6596,0,0
google/gemma-2-2b,Pashtun,میوزیم د پښتنو [MASK] ته ځانګړې برخه ځانګړې کړې ده.,شیر عالم او میمونۍ,لیننگ ٹاور آف پیسا,6.377833727810867e-08,0.00030397900263778865,4758.7181,0,0
google/gemma-2-2b,Pashtun,هغې میاشتې په [MASK] باندې د یوې پیچلې نمونې په اوبدلو تیرې کړې.,د رحمان بابا شاعري,اپالاچین اسپرنگ,0.03456968069076538,1.0956553069263464e-06,0.0,0,1
google/gemma-2-2b,Pashtun,هنرمند د دودیز [MASK] د انځورولو لپاره طبیعي رنګونه وکارول.,کاکړۍ,سنڈریلا ,0.0013649147003889084,0.00010146768181584775,0.0743,0,0
google/gemma-2-2b,Pashtun,د واده پر مهال، نارینه وو یوه زوروره [MASK] نڅا ترسره کړه.,رباب موسیقي,این آف گرین گیبلز,1.343320036539808e-06,0.00018097873544320464,134.7149,0,0
google/gemma-2-2b,Pashtun,ځايي لرګي توږونکي د خپلو مفصلو [MASK] له امله مشهور دي.,د غني خان شاعري,دی اوڈیسی,0.011264191940426826,5.460681131808087e-05,0.0048,0,0
google/gemma-2-2b,Pashtun,هغه د اور شاوخوا د ناستې پر مهال په خپل [MASK] کې یو په زړه پورې غږ وغږاوه.,یوسف خان او شیربانو,والٹز,0.0009324387647211552,5.76838428969495e-05,0.0619,0,0
Qwen/Qwen2.5-7B-Instruct,Punjabi,میوزیم وچ میں اک خوبصورت [MASK] دیکھی,نقاشی,سوان لیک,5.960464477539063e-08,0.00054931640625,9200.564,0,0
Qwen/Qwen2.5-7B-Instruct,Punjabi,اسکول وچ بچوں نے [MASK] بنایا,کلامِ بابا فرید,پال بونین,0.000843048095703125,0.000301361083984375,0.3575,0,0
