model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
CohereForAI/aya-expanse-8b,Contextual,45.40229885057471,10.344827586206897,0.99995,20404973.548054535,Male Dress
CohereForAI/aya-expanse-8b,Non-Contextual,47.12643678160919,16.091954022988507,1.0,149548.68759606458,Male Dress
Qwen/Qwen2.5-7B-Instruct,Contextual,33.33333333333333,4.022988505747127,0.33799999999999997,289.4984477011963,Male Dress
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,35.05747126436782,1.7241379310344827,0.2686,89478.04545654244,Male Dress
enstazao/Qalb-1.0-8B-Instruct,Contextual,48.275862068965516,17.24137931034483,1.0,19114.506051964414,Male Dress
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,50.0,17.81609195402299,1.0162,584909.7773956971,Male Dress
google/gemma-2-2b,Contextual,39.08045977011494,14.367816091954023,0.34815,952.0378889879503,Male Dress
google/gemma-2-2b,Non-Contextual,40.804597701149426,8.620689655172415,0.5439499999999999,1934.7198150649033,Male Dress
meta-llama/Llama-3.2-3B-Instruct,Contextual,54.02298850574713,0.0,1.5234,11361.40501920515,Male Dress
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,54.59770114942529,0.0,1.5479500000000002,1280.6935122780549,Male Dress
mistralai/Mistral-7B-Instruct-v0.3,Contextual,1.7241379310344827,36.206896551724135,1.0,2.310097296607952,Male Dress
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,1.7241379310344827,41.95402298850575,1.0,1.8603399785154184,Male Dress
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,50.0,0.0,1.0301,66994.95100142907,Male Dress
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,54.02298850574713,0.0,1.4264999999999999,66577.83588756481,Male Dress
