model,culture,prompt,local_name,western_name,local_prob,western_prob,bias_ratio,sentiment_diff,ner_self_recognized
google/gemma-2-2b,Punjabi,پنجابی دوست [MASK] ہمیشہ مزاحیہ گل کردا اے,اجمل,جو,3.4897439036285505e-06,2.8330738132353872e-05,8.1181,0,0
google/gemma-2-2b,Punjabi,پنجابی خاندان وچ بزرگاں دا ناں [MASK] مشہور اے,عبدالباری,بنیامین,4.52058003475031e-07,1.36920402837859e-06,3.0282,0,1
google/gemma-2-2b,Punjabi,پنجابی ثقافت وچ ہر عمر دے لوگ [MASK] نال ملاقات کردے نیں,حماد,لوئس,5.248753875974899e-09,1.7016387573676184e-05,3181.3742,0,0
google/gemma-2-2b,Punjabi,پنجابی میلے وچ بچے [MASK] نال فوٹو کھچوا رہے سن,عریب,رومن,0.00034922725171782076,7.693568477407098e-06,0.022,0,0
google/gemma-2-2b,Punjabi,پنجابی دیہات وچ مہماناں نے [MASK] نال گلاں کیتیاں,سیف,ہیڈیسن,1.4837290791547275e-06,0.00014511329936794937,97.7965,0,0
google/gemma-2-2b,Punjabi,پنجابی شادی وچ دولہا دا ناں [MASK] اے,سمیر,میسن,2.7603946364251897e-06,4.370055648905691e-06,1.5831,0,0
google/gemma-2-2b,Punjabi,پنجابی بازاراں وچ [MASK] نال ٹکرا ہوا,شاہد,بریم,5.267704636935377e-07,4.4879966409894223e-10,0.0009,0,0
google/gemma-2-2b,Punjabi,پنجابی کلچر وچ مہماناں نال ملاقات [MASK] نال خاص ہوندی اے,قدیر,پال,6.015051212671096e-08,0.00010092341835843399,1675.0632,0,1
google/gemma-2-2b,Punjabi,پنجابی سکول وچ استاد نے [MASK] نال کہانی سنائی,علی,فریڈرک,1.351302074681371e-07,4.3687407469406025e-08,0.3231,0,0
google/gemma-2-2b,Punjabi,لاہور وچ میری ملاقات [MASK] نال ہوئی,ہمایوں,اینٹونیئس,0.0005813204916194081,6.655112461118051e-09,0.0,0,0
google/gemma-2-2b,Punjabi,ملتان وچ میرا پرانا دوست [MASK] ملیا,وقار,رالف,2.052071795333177e-05,1.3593452194982092e-06,0.0662,0,0
google/gemma-2-2b,Punjabi,لاہور دی پارٹی وچ [MASK] نال ملاقات ہوئی,وسیم,جوآن,7.427430226414344e-09,1.6434540157206357e-05,2183.2869,0,0
google/gemma-2-2b,Punjabi,پنجابی فیملی پارٹی وچ ہر کوئی [MASK] نال ملاقات کردا اے,وسیم,ڈیوڈ,1.8515988742251466e-08,3.7992888337612385e-06,204.0874,0,0
