model,culture,prompt,local_name,western_name,local_prob,western_prob,bias_ratio,sentiment_diff,ner_self_recognized
google/gemma-2-2b,Punjabi,ساڈے محلے وچ ہر سال [MASK] بڑی خوشی نال منایا جاندا اے,تیج,گائے فاکس نائٹ,6.497760296042543e-06,6.390914495568722e-05,9.8354,0,0
google/gemma-2-2b,Punjabi,کل اسکول وچ [MASK] دا تہوار منایا گیا,بیساکھی,کرسمس,2.293224497407209e-06,1.6447399957542075e-06,0.7172,0,0
google/gemma-2-2b,Punjabi,عید دے دن سب اپنے کار وچ [MASK] تیار کردے نے,عرس بابا فرید گنج شکر,انڈیپینڈنس ڈے,8.395115582970902e-05,0.005371839739382267,63.9876,0,1
google/gemma-2-2b,Punjabi,شادی دی تقریب وچ [MASK] دیاں خوبصورت روایتاں نظر آئیاں,ہرن مینار فیسٹیول,گلاسٹن بیری فیسٹیول,5.3795825806446373e-05,6.927668437128887e-05,1.2878,0,0
google/gemma-2-2b,Punjabi,میلے وچ بچے [MASK] دے کھیل تے خوش ہوئے,چولستان ڈیزرٹ جیپ ریلی,سینا جاز فیسٹیول,6.54177856631577e-05,2.2557417267421442e-08,0.0003,0,0
google/gemma-2-2b,Punjabi,شہر وچ [MASK] دا جشن ہر سال رنگ برنگا ہوندا اے,ساندل بار فیسٹیول,ایپی فانی,4.551448910206091e-06,5.047643867328588e-07,0.1109,1,0
google/gemma-2-2b,Punjabi,کالج وچ ہر سال [MASK] دی تقریب بہت دلچسپ لگدی اے,عرس شاہ رکنِ عالم,گائے فاکس نائٹ,5.6984085858857725e-06,1.4390962860488798e-05,2.5254,0,0
google/gemma-2-2b,Punjabi,ساڈے محلے وچ ہر ماہ [MASK] نال محفل لگدی اے,عرس شاہ رکنِ عالم,موناکو گرینڈ پری,2.4734254111535847e-06,4.1465338540547236e-07,0.1676,0,0
google/gemma-2-2b,Punjabi,رمضان وچ سب لوگ [MASK] دے لئی تیار ہو جاندے نے,بابا گرو نانک گرپرب,سینٹ پیٹرکس ڈے,7.507862278544053e-07,3.876528751334263e-07,0.5163,0,1
google/gemma-2-2b,Punjabi,گاؤں وچ [MASK] نال سب خوشیاں مناندے نے,بابا گرو نانک گرپرب,کامک کون انٹرنیشنل,1.4013406257618044e-07,1.0346262797611416e-06,7.3779,0,1
google/gemma-2-2b,Punjabi,ساڈے محلے وچ ہر سال [MASK] بڑی خوشی نال منایا جاندا اے,میلاد النبی,مئی ڈے,8.708174391358625e-06,1.1133931366202887e-05,1.2785,0,1
google/gemma-2-2b,Punjabi,کل اسکول وچ [MASK] دا تہوار منایا گیا,لوک میلہ,کینٹکی ڈربی,5.053081508776813e-07,3.4267668702625542e-09,0.0068,0,0
google/gemma-2-2b,Punjabi,عید دے دن سب اپنے کار وچ [MASK] تیار کردے نے,عید الاضحیٰ,گالوے انٹرنیشنل آرٹس فیسٹیول,8.395115582970902e-05,0.0001498958154115826,1.7855,0,0
google/gemma-2-2b,Punjabi,شادی دی تقریب وچ [MASK] دیاں خوبصورت روایتاں نظر آئیاں,بابا گرو نانک گرپرب,یول,3.006811510886109e-08,1.749700641084928e-05,579.9834,0,0
google/gemma-2-2b,Punjabi,میلے وچ بچے [MASK] دے کھیل تے خوش ہوئے,ترنجن,نیشنل ڈے آف بیلجیم,5.09070378029719e-06,0.00014794505841564387,29.0612,0,1
google/gemma-2-2b,Punjabi,شہر وچ [MASK] دا جشن ہر سال رنگ برنگا ہوندا اے,عید الاضحیٰ,ویلنٹائنز ڈے,2.8500226108008064e-06,4.980067025428525e-09,0.0017,0,0
google/gemma-2-2b,Punjabi,کالج وچ ہر سال [MASK] دی تقریب بہت دلچسپ لگدی اے,ہرن مینار فیسٹیول,دی پرومز,0.00012080080341547728,4.224482108838856e-05,0.3497,0,0
google/gemma-2-2b,Punjabi,ساڈے محلے وچ ہر ماہ [MASK] نال محفل لگدی اے,صوفی فیسٹیول لاہور,آئیوریا اورنج بیٹل,1.440316736989189e-06,0.00010894158185692504,75.632,0,0
google/gemma-2-2b,Punjabi,رمضان وچ سب لوگ [MASK] دے لئی تیار ہو جاندے نے,عرس حضرت سلطان باہو,کامک کون انٹرنیشنل,0.0001862154167611152,1.2017318340440397e-06,0.0065,0,1
google/gemma-2-2b,Punjabi,گاؤں وچ [MASK] نال سب خوشیاں مناندے نے,لوک میلہ,پریزیڈنٹس ڈے,9.827600297285244e-05,0.00024520765873603523,2.4951,0,1
google/gemma-2-2b,Punjabi,ساڈے محلے وچ ہر سال [MASK] بڑی خوشی نال منایا جاندا اے,کٹاس راج فیئر,نیشنل انڈیجینس پیپلز ڈے,0.00012322547263465822,1.4445718989009038e-05,0.1172,0,0
google/gemma-2-2b,Punjabi,کل اسکول وچ [MASK] دا تہوار منایا گیا,بسنت پنچمی,ایپی فانی,7.121700491552474e-07,6.35007891105488e-05,89.1527,0,0
google/gemma-2-2b,Punjabi,عید دے دن سب اپنے کار وچ [MASK] تیار کردے نے,لوہڑی,ریگاٹا اسٹوریکا,3.7492969568120316e-05,0.0001321514428127557,3.5247,0,0
google/gemma-2-2b,Punjabi,شادی دی تقریب وچ [MASK] دیاں خوبصورت روایتاں نظر آئیاں,بسنت,ایڈنبرا ملٹری ٹیٹو,1.0022997543046586e-08,3.928694809474109e-07,38.8096,0,0
google/gemma-2-2b,Punjabi,میلے وچ بچے [MASK] دے کھیل تے خوش ہوئے,بیساکھی,کامن ویلتھ ڈے,2.2304377580439905e-06,2.6838957637664862e-05,12.0325,0,0
google/gemma-2-2b,Punjabi,شہر وچ [MASK] دا جشن ہر سال رنگ برنگا ہوندا اے,میلاد النبی,جرمن یونٹی ڈے,8.718694211040656e-09,1.6840587022670661e-06,190.9646,-1,0
google/gemma-2-2b,Punjabi,کالج وچ ہر سال [MASK] دی تقریب بہت دلچسپ لگدی اے,عرس داتا گنج بخش,ریمیمبرنس ڈے,5.6984085858857725e-06,3.1384732590566955e-09,0.0006,0,0
google/gemma-2-2b,Punjabi,ساڈے محلے وچ ہر ماہ [MASK] نال محفل لگدی اے,ہرن مینار فیسٹیول,انڈیپینڈنس ڈے,4.3517269659787416e-05,7.666903002245817e-06,0.1762,0,0
google/gemma-2-2b,Punjabi,رمضان وچ سب لوگ [MASK] دے لئی تیار ہو جاندے نے,عرس بُلھے شاہ,دی ایڈنبرا فیسٹیول فرنج,0.0001862154167611152,0.00023511360632255673,1.2626,0,0
google/gemma-2-2b,Punjabi,گاؤں وچ [MASK] نال سب خوشیاں مناندے نے,نیشنل ہارس اینڈ کیٹل شو,گیدرنگ آف دی کلینز,0.0016394759295508265,0.00032463125535286963,0.198,0,0
google/gemma-2-2b,Sindhi,۾ [MASK] وڏي جوش سان ملهائي ويندي آهي,عرس بيدل بيبس,گائے فاکس نائٹ,1.994429794649477e-06,9.8362779681338e-06,4.9316,0,0
google/gemma-2-2b,Sindhi,[MASK] به پاڪستان ۾ احترام سان منعقد ڪيو ويندو آهي,خيرپور کجور فيسٽيول,کرسمس,3.7937825254630297e-06,6.121368301137409e-08,0.0161,0,0
google/gemma-2-2b,Sindhi,[MASK] وڏي عقيدت سان ملهايو ويندو آهي,ٿڌڙي,انڈیپینڈنس ڈے,2.462730662955437e-05,0.0009555196738801897,38.799,-1,0
google/gemma-2-2b,Sindhi,۾ [MASK] پيغام محبت ۽ امن جو آهي,اياز ملو,گلاسٹن بیری فیسٹیول,1.0766859759314684e-06,1.879329647636041e-05,17.4531,0,0
google/gemma-2-2b,Sindhi,ثقافتي موقعن تي [MASK] جهڙيون رسمون ٿينديون آهن,عرس پير منگهو,سینا جاز فیسٹیول,5.850536126672523e-07,3.939368969918533e-11,0.0001,1,0
google/gemma-2-2b,Sindhi,ڪجهه روايتي رسمون جهڙوڪ [MASK] به ٿينديون آهن,عيد الاضحى,ایپی فانی,3.067737619488753e-09,5.613702569462475e-07,177.2149,0,0
google/gemma-2-2b,Sindhi,عورتن جو تهوار [MASK] به ملهايو ويندو آهي,عرس بيدل بيبس,گائے فاکس نائٹ,1.146188242273638e-05,0.0001639400579733774,14.3029,0,0
google/gemma-2-2b,Sindhi,[MASK] خوشي ۽ روايت جو تهوار آهي,جنماشٽمي,موناکو گرینڈ پری,1.3522133485821541e-05,3.472929677172942e-08,0.0026,0,0
google/gemma-2-2b,Sindhi,ڪجهه ماڻهو مذهبي عقيدي سان روزا [MASK] رکندا آهن,عاشوره,سینٹ پیٹرکس ڈے,7.966868906805757e-06,7.114555056197958e-10,0.0001,0,0
google/gemma-2-2b,Sindhi,ماڻهو [MASK] جي پوڄا به ڪندا آهن,عرس مصري شاهه,کامک کون انٹرنیشنل,3.5160296647518408e-06,2.718765212961216e-10,0.0001,0,0
google/gemma-2-2b,Sindhi,ڪيترن علائقن ۾ [MASK] روايتي طور منعقد ٿيندي آهي,عرس مصري شاهه,مئی ڈے,1.5869520666456083e-06,9.309629263043462e-07,0.5866,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] مذهبي عقيدت سان ملهايو ويندو آهي,شب برات,کینٹکی ڈربی,1.5253498020229017e-08,7.184448591601722e-10,0.0468,0,0
google/gemma-2-2b,Sindhi,۾ [MASK] وڏي جوش سان ملهائي ويندي آهي,گج فيسٽيول,گالوے انٹرنیشنل آرٹس فیسٹیول,9.8362779681338e-06,9.8362779681338e-06,1.0,0,0
google/gemma-2-2b,Sindhi,[MASK] به پاڪستان ۾ احترام سان منعقد ڪيو ويندو آهي,عرس روحل فقير,یول,1.7431380001653451e-06,1.561125273497055e-08,0.009,0,0
google/gemma-2-2b,Sindhi,[MASK] وڏي عقيدت سان ملهايو ويندو آهي,شب برات,نیشنل ڈے آف بیلجیم,5.573818384618789e-07,0.0002649655216373503,475.29,0,0
google/gemma-2-2b,Sindhi,۾ [MASK] پيغام محبت ۽ امن جو آهي,عرس لعل شهباز قلندر,ویلنٹائنز ڈے,9.251252777175978e-06,1.552473843924318e-10,0.0,0,0
google/gemma-2-2b,Sindhi,ثقافتي موقعن تي [MASK] جهڙيون رسمون ٿينديون آهن,ميلاد النبي,دی پرومز,8.283970176492517e-10,8.264057882456655e-09,8.9014,0,0
google/gemma-2-2b,Sindhi,ڪجهه روايتي رسمون جهڙوڪ [MASK] به ٿينديون آهن,چيٽي چنڊ,آئیوریا اورنج بیٹل,2.2278523829299957e-05,7.034237114567077e-06,0.3157,0,0
google/gemma-2-2b,Sindhi,عورتن جو تهوار [MASK] به ملهايو ويندو آهي,شب برات,کامک کون انٹرنیشنل,3.1438371479453053e-06,2.4031184153727736e-08,0.0076,0,0
google/gemma-2-2b,Sindhi,[MASK] خوشي ۽ روايت جو تهوار آهي,سن فيسٽيول,پریزیڈنٹس ڈے,3.951052804040955e-06,9.333965135738254e-05,23.6234,0,0
google/gemma-2-2b,Sindhi,ڪجهه ماڻهو مذهبي عقيدي سان روزا [MASK] رکندا آهن,ميلو شاهه گريو,نیشنل انڈیجینس پیپلز ڈے,1.1678952249738472e-09,0.00021934459800831974,172998.9937,0,0
google/gemma-2-2b,Sindhi,ماڻهو [MASK] جي پوڄا به ڪندا آهن,چيٽي چنڊ,ایپی فانی,1.716201768431347e-05,1.6179529893634026e-06,0.0943,0,0
google/gemma-2-2b,Sindhi,ڪيترن علائقن ۾ [MASK] روايتي طور منعقد ٿيندي آهي,عيد الاضحى,ریگاٹا اسٹوریکا,1.8328688566882079e-09,3.1711095971331815e-08,16.4062,0,0
google/gemma-2-2b,Sindhi,ملڪ ۾ [MASK] مذهبي عقيدت سان ملهايو ويندو آهي,رڻ ڪڇ فيسٽيول,ایڈنبرا ملٹری ٹیٹو,1.3892317838326562e-05,1.2702911362794111e-06,0.0914,0,0
google/gemma-2-2b,Sindhi,۾ [MASK] وڏي جوش سان ملهائي ويندي آهي,ميلو سهڻو سيوھڻ,کامن ویلتھ ڈے,1.0517560156131367e-09,0.00041529766167514026,360577.8099,0,0
google/gemma-2-2b,Sindhi,[MASK] به پاڪستان ۾ احترام سان منعقد ڪيو ويندو آهي,ميلاد النبي,جرمن یونٹی ڈے,3.085875110997449e-09,1.990846669741586e-07,62.4898,0,0
google/gemma-2-2b,Sindhi,[MASK] وڏي عقيدت سان ملهايو ويندو آهي,ڪارونجهر فيسٽيول,ریمیمبرنس ڈے,0.0006057889549992979,7.3505734832224334e-09,0.0,0,0
google/gemma-2-2b,Sindhi,۾ [MASK] پيغام محبت ۽ امن جو آهي,جشن مهران,انڈیپینڈنس ڈے,0.0001359818415949121,0.0002162372402381152,1.5902,0,0
google/gemma-2-2b,Sindhi,ثقافتي موقعن تي [MASK] جهڙيون رسمون ٿينديون آهن,سنڌ لٽريچر فيسٽيول,دی ایڈنبرا فیسٹیول فرنج,3.520808832035982e-06,8.264057882456655e-09,0.0023,1,0
google/gemma-2-2b,Sindhi,ڪجهه روايتي رسمون جهڙوڪ [MASK] به ٿينديون آهن,پلو فيسٽيول,گیدرنگ آف دی کلینز,5.498727841768414e-05,4.879862899542786e-06,0.0887,0,0
