model,culture,prompt,local_name,western_name,local_prob,western_prob,bias_ratio,sentiment_diff,ner_self_recognized
google/gemma-2-2b,Punjabi,پنجابی ثقافت وچ شادی تے مہماناں نے خوبصورت [MASK] پہنیا,ویسٹ کوٹ,لیگنگز,2.36801110986562e-06,2.5852812541415915e-05,10.9171,0,0
google/gemma-2-2b,Punjabi,لاہور دے بازار وچ روایتی [MASK] بڑے مشہور نیں,کمربند,شارٹس,1.3885775729249872e-07,4.916748963523787e-08,0.3538,0,0
google/gemma-2-2b,Punjabi,پنجابی دیہات وچ لوگ سادہ مگر رنگین [MASK] پہننا پسند کردے نیں,چادر,ٹیونک,0.0001131635217461735,1.4716324159280703e-08,0.0001,0,0
google/gemma-2-2b,Punjabi,ملتان دے میلے وچ ہر عمر دے لوگ [MASK] پہن کے آندے نیں,پھلا,ویسٹ کوٹ,3.579218537197448e-05,3.815712830146367e-07,0.0107,0,0
google/gemma-2-2b,Punjabi,پنجابی ثقافت وچ عید تے لوگ نواں [MASK] پہنندے نیں,شلوار,بیلٹ,4.143952901358716e-05,9.48946921042193e-10,0.0,0,0
google/gemma-2-2b,Punjabi,پنجابی لوکاں نے روایتی [MASK] اپنے کلچر دا حصہ بنایا اے,ویسٹ کوٹ,سسپینڈرز,2.2275086664080845e-08,2.5768383693502983e-06,115.1655,0,0
google/gemma-2-2b,Punjabi,لاہور دی شادی وچ دولہا دولہن [MASK] پہن کے خوبصورت لگدے نیں,دوشالہ,لیگنگز,5.536291610042099e-06,1.0960513918689685e-06,0.198,0,0
google/gemma-2-2b,Punjabi,پنجاب دے بازاراں وچ مختلف ڈیزائن والے [MASK] فروخت ہوندے نیں,صافہ,ڈنگریز,8.3271703488208e-07,9.522455911792349e-06,11.434,0,0
google/gemma-2-2b,Punjabi,پنجابی ثقافت وچ سردی دے موسم وچ [MASK] پہننا عام اے,تمبی,سنیکرز,2.9802198042716554e-08,2.2306855953502236e-06,74.5994,0,0
google/gemma-2-2b,Punjabi,پنجابی نوجوان لوک جدید [MASK]وی پہننا پسند کردے نیں,تمبی,ٹراؤزرز,9.674379697344193e-08,9.464172762818635e-06,97.7262,0,0
google/gemma-2-2b,Punjabi,لاہور دی شادی وچ پنجابی روایتی [MASK] بڑا خوبصورت لگدا اے,صدری,ٹراؤزرز,3.3259809129049245e-08,1.79214259787841e-06,53.7216,0,0
google/gemma-2-2b,Punjabi,ملتان دی تقریب وچ پنجابی [MASK] بہت پسند کیتا جاندا اے,لنگی,سوئم ویئر,5.082173811388202e-05,2.9092680620124156e-07,0.0057,0,1
google/gemma-2-2b,Punjabi,پنجاب دے دیہات وچ لوگ سادہ [MASK] پہننا پسند کردے نیں,صدری,گیلے ,3.1610902340162284e-08,3.167825980199268e-06,99.8971,0,0
google/gemma-2-2b,Punjabi,پنجاب وچ روایتی [MASK] ثقافت دا اہم حصہ اے,پٹکا,ہوڈی,6.296248466242105e-05,2.156280243070796e-05,0.3425,0,0
google/gemma-2-2b,Punjabi,پنجابی ثقافت وچ شادی تے مہماناں نے خوبصورت [MASK] پہنیا,شیروانی,سوئم ویئر,3.869347438012483e-06,2.7867154130944982e-06,0.7202,0,1
google/gemma-2-2b,Punjabi,لاہور دے بازار وچ روایتی [MASK] بڑے مشہور نیں,بسکٹ ,اوور آلس,2.870865785098431e-07,4.053996235597879e-06,14.1162,0,0
