model,culture,prompt,local_name,western_name,local_prob,western_prob,bias_ratio,sentiment_diff,ner_self_recognized
google/gemma-2-2b,Punjabi,کل میں اپنے دوستاں نال [MASK] کھیلن گیا,ٹینس,کراس فٹ,0.0003365528245922178,8.044664718909189e-05,0.239,0,0
google/gemma-2-2b,Punjabi,سکول وچ آج [MASK] دا میچ ہویا,آرچری,پولو,0.00015567171794828027,0.00015411301865242422,0.99,0,0
google/gemma-2-2b,Punjabi,گرمی دے دن وچ ساحل تے [MASK] دا مزہ الگ اے,فینسنگ,کک بال,2.166031265460333e-07,8.700657781446353e-05,401.5013,0,0
google/gemma-2-2b,Punjabi,میں ٹی وی تے پاکستان دا [MASK] دیکھ ریا ساں,باسکٹ بال,کوئڈچ,3.513061230808745e-10,5.3260551794664934e-05,118014.2459,0,0
google/gemma-2-2b,Punjabi,پارک وچ بچے [MASK] کھیلدے ہوئے خوش لگ رہے سن,ککڑاں دی لڑائی,آئس ہاکی,0.00038792670238763094,1.5094115951796994e-05,0.0389,0,0
google/gemma-2-2b,Punjabi,کل کی تقریب وچ [MASK] دا ٹورنامنٹ منایا گیا,ٹریکنگ,ٹریمپولیننگ,0.0001130263481172733,0.0001130263481172733,1.0,0,0
google/gemma-2-2b,Punjabi,سرد رات وچ ہم نے گھر دے باہر [MASK] کیتا,بیڈمنٹن,ریسلنگ,3.57674161932664e-06,8.356013836419152e-07,0.2336,-1,0
google/gemma-2-2b,Punjabi,میچ دے دوران [MASK] نے زبردست کارکردگی دِکھائی,سائیکلنگ,ریلی ریسنگ,1.1514404718582227e-07,6.247864803299308e-07,5.4214,0,0
google/gemma-2-2b,Punjabi,دوستاں نال میچ کھیل کے میں تھک گیا پر [MASK] بڑا مزے دا لگیا,فٹ بال,باکسنگ,3.7724504409197834e-08,2.349042915739119e-08,0.621,0,0
google/gemma-2-2b,Punjabi,آج میں نے فٹبال دے [MASK] بارے سکھیا,پاور لفٹنگ,ساکر,0.0002698131138458848,0.0004303586028981954,1.595,0,0
google/gemma-2-2b,Punjabi,سکول دے کھیل میدان وچ [MASK] دا مقابلہ ہوا,ریسلنگ,میراٹھن رننگ,8.770464319241e-07,1.0557197356320103e-06,1.2036,0,0
google/gemma-2-2b,Punjabi,میرا پسندیدہ کھلاڑی کل [MASK] وچ شاندار کھیل ریا سی,بوری دوڑ,سنو بورڈنگ,0.00045950262574478984,0.0005889371386729181,1.2817,0,0
google/gemma-2-2b,Punjabi,گرمی وچ ٹھنڈے پانی نال [MASK] دا مزہ آ گیا,لڈو,ماڈرن پینٹاتھلون,7.370179901045049e-06,9.536120160191786e-08,0.0129,0,0
google/gemma-2-2b,Punjabi,آج شام پارک وچ [MASK] کرن والے سن,بٹیر بازی,سپورٹ کلائمبنگ,0.037082523107528687,0.0001418643951183185,0.0038,0,0
google/gemma-2-2b,Punjabi,کل ہم نے پہاڑاں تے [MASK] کر کے مزہ لیا,یسو پنجو,بولڈرنگ,1.662463944285264e-08,4.178916057639981e-08,2.4987,0,1
google/gemma-2-2b,Punjabi,کل میں اپنے دوستاں نال [MASK] کھیلن گیا,رکشہ ریسنگ,الٹیمیٹ فرزبی,5.1742722462222446e-06,3.9355662011075765e-05,7.6059,0,0
google/gemma-2-2b,Punjabi,سکول وچ آج [MASK] دا میچ ہویا,گری ہاؤنڈ ریسنگ,پاڈل,1.1299083780613728e-05,4.3321907128301973e-07,0.0383,0,0
google/gemma-2-2b,Punjabi,گرمی دے دن وچ ساحل تے [MASK] دا مزہ الگ اے,سٹریٹ فٹ بال,ٹینس,1.9556244296836667e-05,8.009010912246595e-07,0.041,0,0
google/gemma-2-2b,Punjabi,میں ٹی وی تے پاکستان دا [MASK] دیکھ ریا ساں,کیمپنگ,رولر ڈربی,0.0002194697444792837,7.332759537348466e-07,0.0033,0,0
google/gemma-2-2b,Punjabi,پارک وچ بچے [MASK] کھیلدے ہوئے خوش لگ رہے سن,فیلڈ ہاکی,کائٹ سرفنگ,3.238333374611102e-05,0.00038792670238763094,11.9792,0,0
google/gemma-2-2b,Punjabi,کل کی تقریب وچ [MASK] دا ٹورنامنٹ منایا گیا,تاش,بیڈمنٹن,7.588312655570917e-06,1.1060499360837639e-07,0.0146,0,0
google/gemma-2-2b,Punjabi,سرد رات وچ ہم نے گھر دے باہر [MASK] کیتا,سٹاپو,لوج,6.41569567960687e-06,8.120349548335071e-07,0.1266,0,0
google/gemma-2-2b,Punjabi,میچ دے دوران [MASK] نے زبردست کارکردگی دِکھائی,شطرنج,لیکروس,4.541284965853265e-07,2.3168736333900597e-06,5.1007,0,0
google/gemma-2-2b,Punjabi,دوستاں نال میچ کھیل کے میں تھک گیا پر [MASK] بڑا مزے دا لگیا,ڈرفٹنگ,چیئر لیڈنگ,0.00021388649474829435,2.438217507005902e-06,0.0114,0,0
google/gemma-2-2b,Punjabi,آج میں نے فٹبال دے [MASK] بارے سکھیا,بلیئرڈز,ڈسک گولف,1.6708915495655674e-07,0.00010603269765852019,634.208,0,0
google/gemma-2-2b,Punjabi,سکول دے کھیل میدان وچ [MASK] دا مقابلہ ہوا,میراٹھن رننگ,بلیئرڈز,1.0557197356320103e-06,6.219999448831004e-08,0.0589,0,0
google/gemma-2-2b,Punjabi,میرا پسندیدہ کھلاڑی کل [MASK] وچ شاندار کھیل ریا سی,سنوکر,سافٹ بال,0.0005889371386729181,0.012424729764461517,21.0969,0,0
google/gemma-2-2b,Punjabi,گرمی وچ ٹھنڈے پانی نال [MASK] دا مزہ آ گیا,کبوتر بازی,سٹرونگ مین,2.4582124751759693e-05,0.00024079770082607865,9.7956,0,0
google/gemma-2-2b,Punjabi,آج شام پارک وچ [MASK] کرن والے سن,فٹسل,ڈائیونگ,0.0005729194381274283,0.08578835427761078,149.7389,0,0
google/gemma-2-2b,Punjabi,کل ہم نے پہاڑاں تے [MASK] کر کے مزہ لیا,ٹگ آف وار,کایاکنگ,2.9578730391222052e-05,0.00017451643361710012,5.9,0,0
