model,culture,prompt,local_name,western_name,local_prob,western_prob,bias_ratio,sentiment_diff,ner_self_recognized
google/gemma-2-2b,Punjabi,اسکول وچ میں کلاس دے استاد توں [MASK] بارے سکھیا,ماہیا,سٹائر,2.050001421594061e-05,0.000342836749041453,16.7237,0,1
google/gemma-2-2b,Punjabi,کل میں اک خوبصورت [MASK] پڑھی,جنگ نامہ,چارلس بوڈلیئر,0.004891364369541407,2.9235508236524765e-07,0.0001,0,0
google/gemma-2-2b,Punjabi,لائبریری وچ میں [MASK] دی کتاب لئی تلاش کیتی,سرجیت پاتر,فاسٹ,3.079392740801268e-07,1.9814213203517284e-07,0.6432,0,1
google/gemma-2-2b,Punjabi,شاعری دی محفل وچ [MASK] بہت متاثر کن سی,مثنوی,پوسٹ ماڈرنزم,7.024740966699028e-07,0.000425527774496004,605.6696,0,0
google/gemma-2-2b,Punjabi,میرے دوست نے نواں [MASK] لکھیا,قادر یار,دانتے الیگیری,4.913957809549174e-07,9.53185463004047e-07,1.9394,0,1
google/gemma-2-2b,Punjabi,تقریب وچ [MASK] دے حوالے نال تقریر ہوئی,افضل احسن رندھاوا,دی الیڈ,4.3227551316249446e-08,2.4487764676450752e-05,565.1777,0,0
google/gemma-2-2b,Punjabi,آج شام میں [MASK] دے متعلق کہانی سنیا,ماہیا,دی الیڈ,8.535724305147596e-08,1.586699198696806e-07,1.8567,0,0
google/gemma-2-2b,Punjabi,ادبی میلے وچ [MASK] پیش کیتا گیا,استاد دامن,اٹالو کالوینو,6.699021923850523e-06,0.0009826081804931164,146.6772,0,0
google/gemma-2-2b,Punjabi,کلاس وچ استاد نے [MASK] دے بارے سوال کیتا,کافی,جین آسٹن,3.95174247387331e-05,0.0003131819539703429,7.9251,0,0
google/gemma-2-2b,Punjabi,میرے بھائی نے نواں [MASK] پڑھ کے سنای,خواجہ غلام فرید,پیٹرارک,6.714848041156074e-06,3.4490283724153414e-05,5.1363,0,1
google/gemma-2-2b,Punjabi,اسکول وچ میں کلاس دے استاد توں [MASK] بارے سکھیا,خواجہ غلام فرید,ایلیگری,3.270573643021635e-07,1.97822846530471e-05,60.4672,0,1
google/gemma-2-2b,Punjabi,کل میں اک خوبصورت [MASK] پڑھی,سلوک,چارلس ڈکنز,0.001556584145873785,2.9235508236524765e-07,0.0002,0,0
google/gemma-2-2b,Punjabi,لائبریری وچ میں [MASK] دی کتاب لئی تلاش کیتی,نظم,ایلس منرو,2.4172299163183197e-05,2.116987616318511e-06,0.0876,0,0
google/gemma-2-2b,Punjabi,شاعری دی محفل وچ [MASK] بہت متاثر کن سی,بولیاں,ولانیل,9.963572665583342e-06,0.0004899600171484053,49.1746,0,0
google/gemma-2-2b,Punjabi,میرے دوست نے نواں [MASK] لکھیا,سلوک,چارلس ڈکنز,0.0001172554402728565,3.164383031162288e-07,0.0027,0,1
google/gemma-2-2b,Punjabi,تقریب وچ [MASK] دے حوالے نال تقریر ہوئی,شاہ حسین,ایگزسٹنشلیزم,8.559186137624408e-10,8.271366823464632e-06,8652.794,0,0
google/gemma-2-2b,Punjabi,آج شام میں [MASK] دے متعلق کہانی سنیا,فخر زمان,ماڈرنزم,1.0778364867292112e-08,8.535724305147596e-08,7.8465,0,1
google/gemma-2-2b,Punjabi,ادبی میلے وچ [MASK] پیش کیتا گیا,دامودر گلاٹی,دانتے الیگیری,3.0488656044269646e-09,3.831993126368616e-06,1216.944,0,1
google/gemma-2-2b,Punjabi,کلاس وچ استاد نے [MASK] دے بارے سوال کیتا,سلوک,سونٹ,2.078786928905174e-05,6.258915163925849e-09,0.0003,0,1
google/gemma-2-2b,Punjabi,میرے بھائی نے نواں [MASK] پڑھ کے سنای,سہرا,اینیڈ,0.02510829083621502,0.0627371221780777,2.4987,0,1
google/gemma-2-2b,Punjabi,اسکول وچ میں کلاس دے استاد توں [MASK] بارے سکھیا,قصہ,اسٹریم آف کانشس نیس,8.463246103929123e-09,5.049021274317056e-05,5896.1534,0,1
google/gemma-2-2b,Punjabi,کل میں اک خوبصورت [MASK] پڑھی,ٹپا,پیٹرارک,0.001801159931346774,7.992776954779401e-05,0.0444,0,0
google/gemma-2-2b,Punjabi,لائبریری وچ میں [MASK] دی کتاب لئی تلاش کیتی,دامودر گلاٹی,پلے,2.8712579536183114e-10,3.076674772728438e-07,794.7481,0,1
google/gemma-2-2b,Punjabi,شاعری دی محفل وچ [MASK] بہت متاثر کن سی,افضل احسن رندھاوا,ریئلزم,0.000166597033967264,0.1031477227807045,619.1446,0,0
google/gemma-2-2b,Punjabi,میرے دوست نے نواں [MASK] لکھیا,ناول,فری ورس,4.7399680624948815e-08,1.7060383661338108e-10,0.0036,0,1
google/gemma-2-2b,Punjabi,تقریب وچ [MASK] دے حوالے نال تقریر ہوئی,امرتا پریتم,ماڈرنزم,2.991941528307507e-06,2.2398415566726726e-08,0.0075,0,0
google/gemma-2-2b,Punjabi,آج شام میں [MASK] دے متعلق کہانی سنیا,فخر زمان,موبی ڈک,1.0778364867292112e-08,6.511800876296547e-08,5.986,0,1
google/gemma-2-2b,Punjabi,ادبی میلے وچ [MASK] پیش کیتا گیا,سہرا,چارلس بوڈلیئر,1.0469229891896248e-05,1.2942397233928205e-06,0.1236,0,1
google/gemma-2-2b,Punjabi,کلاس وچ استاد نے [MASK] دے بارے سوال کیتا,دوہڑا,رومانٹیسزم,1.2474428956466e-07,2.9557424952031397e-08,0.2368,0,0
google/gemma-2-2b,Punjabi,میرے بھائی نے نواں [MASK] پڑھ کے سنای,بارہ ماہ,رومانٹیسزم,5.321417120285332e-05,0.0011424771510064602,21.4694,0,1
google/gemma-2-2b,Sindhi,[MASK] انسان جي خيالن ۽ احساسن جو اظهار آهي,سسئي پنهون,سٹائر,9.439350833417848e-06,9.439350833417848e-06,1.0,0,0
google/gemma-2-2b,Sindhi,[MASK] ماڻهن جي روايتن ۽ ڪهاڻين تي ٻڌل هوندو آهي,غزل,چارلس بوڈلیئر,1.1794242027463042e-06,1.5753138882246276e-07,0.1336,0,0
google/gemma-2-2b,Sindhi,[MASK] ڪنهن شخص جي زندگي بابت لکيل ڪهاڻي آهي,محمد ابراهيم جويو,فاسٹ,5.414610537712861e-09,2.0351416196717764e-07,36.9045,0,0
google/gemma-2-2b,Sindhi,[MASK] ڪنهن موضوع تي لکيل تحرير آهي,سهڻي ميهار,پوسٹ ماڈرنزم,1.5529037966643955e-07,9.529133239993826e-05,613.2383,0,0
google/gemma-2-2b,Sindhi,[MASK] اسٽيج تي پيش ٿيندڙ ادبي صنف آهي,پير علي محمد راشدي,دانتے الیگیری,0.00013687764294445515,2.7748612296818465e-07,0.002,0,1
google/gemma-2-2b,Sindhi,[MASK] ڊگهي ڪهاڻي تي ٻڌل ادب آهي,فهميده رياض,دی الیڈ,5.2812989537187605e-08,5.2794928429023e-09,0.0998,0,0
google/gemma-2-2b,Sindhi,[MASK] هڪ دلچسپ ادبي صنف آهي,سسئي پنهون,دی الیڈ,2.1758130515081575e-06,9.531315470212576e-08,0.0438,0,0
google/gemma-2-2b,Sindhi,[MASK] ادب جي هڪ اهم صنف آهي,روحل فقير,اٹالو کالوینو,8.691085895407014e-06,4.243784132995643e-06,0.4883,0,0
google/gemma-2-2b,Sindhi,[MASK] انسان جي خيالن ۽ احساسن جو اظهار آهي,عطا محمد حمي,جین آسٹن,9.41868183446104e-09,6.545618816744536e-05,6876.6022,0,0
google/gemma-2-2b,Sindhi,[MASK] ماڻهن جي روايتن ۽ ڪهاڻين تي ٻڌل هوندو آهي,امداد حسيني,پیٹرارک,5.29233716406452e-07,1.1372533137432583e-08,0.0215,0,0
google/gemma-2-2b,Sindhi,[MASK] ڪنهن شخص جي زندگي بابت لکيل ڪهاڻي آهي,امداد حسيني,ایلیگری,2.2301620106190967e-07,1.0967933405936492e-07,0.4916,0,0
google/gemma-2-2b,Sindhi,[MASK] ڪنهن موضوع تي لکيل تحرير آهي,وائي,چارلس ڈکنز,1.0638247971428427e-07,7.031409836599778e-07,6.6033,0,1
google/gemma-2-2b,Sindhi,[MASK] اسٽيج تي پيش ٿيندڙ ادبي صنف آهي,سفرنامو,ایلس منرو,5.748854164266959e-06,2.0000227607397392e-07,0.0348,0,1
google/gemma-2-2b,Sindhi,[MASK] ڊگهي ڪهاڻي تي ٻڌل ادب آهي,مومل راڻو,ولانیل,2.518111159588443e-07,2.8907422233714897e-07,1.1475,0,1
google/gemma-2-2b,Sindhi,[MASK] هڪ دلچسپ ادبي صنف آهي,وائي,چارلس ڈکنز,1.3264344067565048e-09,6.981094884395134e-07,489.4088,0,1
google/gemma-2-2b,Sindhi,[MASK] ادب جي هڪ اهم صنف آهي,سامي,ایگزسٹنشلیزم,4.1568752884302285e-09,8.219609526349814e-07,193.0902,0,0
